dateTime,value,flag,score
"2025-01-01T09:15:00-08:00",0.00,c,-1
"2025-01-01T21:15:00-08:00",0.00,c,-1
"2025-01-02T09:15:00-08:00",0.00,c,-1
"2025-01-02T21:15:00-08:00",0.00,c,-1
"2025-01-03T09:15:00-08:00",0.00,c,-1
"2025-01-03T21:15:00-08:00",0.00,c,-1
"2025-01-04T09:15:00-08:00",0.00,c,-1
"2025-01-04T21:15:00-08:00",0.00,c,-1
"2025-01-05T09:15:00-08:00",0.00,c,-1
"2025-01-05T21:15:00-08:00",0.00,c,-1
"2025-01-06T09:15:00-08:00",0.00,c,-1
"2025-01-06T21:15:00-08:00",0.00,c,-1
"2025-01-07T09:15:00-08:00",0.00,c,-1
"2025-01-08T09:15:00-08:00",0.00,c,-1
"2025-01-08T21:15:00-08:00",0.00,c,-1
"2025-01-09T09:15:00-08:00",0.00,c,-1
"2025-01-09T21:15:00-08:00",0.00,c,-1
"2025-01-10T09:15:00-08:00",0.00,c,-1
"2025-01-10T21:15:00-08:00",0.00,c,-1
"2025-01-11T09:15:00-08:00",0.00,c,-1
"2025-01-11T21:15:00-08:00",0.00,c,-1
"2025-01-12T09:15:00-08:00",0.00,c,-1
"2025-01-12T21:15:00-08:00",0.00,c,-1
"2025-01-13T09:15:00-08:00",0.00,c,-1
"2025-01-13T21:15:00-08:00",0.00,c,-1
"2025-01-14T09:15:00-08:00",0.00,c,-1
"2025-01-14T21:15:00-08:00",0.00,c,-1
"2025-01-15T09:15:00-08:00",0.00,c,-1
"2025-01-15T21:15:00-08:00",0.00,c,-1
"2025-01-16T09:15:00-08:00",0.00,c,-1
"2025-01-16T21:15:00-08:00",0.00,c,-1
"2025-01-17T09:15:00-08:00",0.00,c,-1
"2025-01-17T21:15:00-08:00",0.00,c,-1
"2025-01-18T09:15:00-08:00",0.00,c,-1
"2025-01-18T21:15:00-08:00",0.00,c,-1
"2025-01-19T09:15:00-08:00",0.00,c,-1
"2025-01-19T21:15:00-08:00",0.00,c,-1
"2025-01-20T09:15:00-08:00",0.00,c,-1
"2025-01-20T21:15:00-08:00",0.00,c,-1
"2025-01-21T09:15:00-08:00",0.00,c,-1
"2025-01-21T21:15:00-08:00",0.00,c,-1
"2025-01-22T09:15:00-08:00",0.00,c,-1
"2025-01-22T21:15:00-08:00",0.00,c,-1
"2025-01-23T09:15:00-08:00",0.00,c,-1
"2025-01-23T21:15:00-08:00",0.00,c,-1
"2025-01-24T09:15:00-08:00",0.00,c,-1
"2025-01-24T21:15:00-08:00",0.00,c,-1
"2025-01-25T09:15:00-08:00",0.00,c,-1
"2025-01-25T21:15:00-08:00",0.00,c,-1
"2025-01-26T09:15:00-08:00",0.00,c,-1
"2025-01-26T21:15:00-08:00",0.00,c,-1
"2025-01-27T09:15:00-08:00",0.00,c,-1
"2025-01-27T21:15:00-08:00",0.00,c,-1
"2025-01-28T09:15:00-08:00",0.00,c,-1
"2025-01-28T21:15:00-08:00",0.00,c,-1
"2025-01-29T09:15:00-08:00",0.00,c,-1
"2025-01-29T21:15:00-08:00",0.00,c,-1
"2025-01-30T09:15:00-08:00",0.00,c,-1
"2025-01-30T21:15:00-08:00",0.00,c,-1
"2025-01-31T09:15:00-08:00",0.00,c,-1
"2025-01-31T21:15:00-08:00",0.00,c,-1
"2025-02-01T09:15:00-08:00",0.00,c,-1
"2025-02-01T21:15:00-08:00",0.00,c,-1
"2025-02-02T09:15:00-08:00",0.00,c,-1
"2025-02-02T21:15:00-08:00",0.00,c,-1
"2025-02-03T09:15:00-08:00",0.00,c,-1
"2025-02-03T21:15:00-08:00",0.00,c,-1
"2025-02-04T09:15:00-08:00",0.00,c,-1
"2025-02-04T21:15:00-08:00",0.00,c,-1
"2025-02-05T09:15:00-08:00",0.00,c,-1
"2025-02-05T21:15:00-08:00",0.00,c,-1
"2025-02-06T09:15:00-08:00",0.00,c,-1
"2025-02-06T21:15:00-08:00",0.00,c,-1
"2025-02-07T09:15:00-08:00",0.00,c,-1
"2025-02-07T21:15:00-08:00",0.00,c,-1
"2025-02-08T09:15:00-08:00",0.00,c,-1
"2025-02-08T21:15:00-08:00",0.00,c,-1
"2025-02-09T09:15:00-08:00",0.00,c,-1
"2025-02-09T21:15:00-08:00",0.00,c,-1
"2025-02-10T09:15:00-08:00",0.00,c,-1
"2025-02-10T21:15:00-08:00",0.00,c,-1
"2025-02-11T09:15:00-08:00",0.00,c,-1
"2025-02-11T21:15:00-08:00",0.00,c,-1
"2025-02-12T09:15:00-08:00",0.00,c,-1
"2025-02-12T21:15:00-08:00",0.00,c,-1
"2025-02-13T09:15:00-08:00",0.00,c,-1
"2025-02-13T14:15:00-08:00",0.04,c,-1
"2025-02-13T18:30:00-08:00",0.04,c,-1
"2025-02-13T20:00:00-08:00",0.04,c,-1
"2025-02-13T20:30:00-08:00",0.04,c,-1
"2025-02-13T21:00:00-08:00",0.04,c,-1
"2025-02-14T09:15:00-08:00",0.00,c,-1
"2025-02-14T20:30:00-08:00",0.04,c,-1
"2025-02-14T20:45:00-08:00",0.04,c,-1
"2025-02-14T21:15:00-08:00",0.00,c,-1
"2025-02-15T02:00:00-08:00",0.04,c,-1
"2025-02-15T09:15:00-08:00",0.00,c,-1
"2025-02-15T21:15:00-08:00",0.00,c,-1
"2025-02-16T09:15:00-08:00",0.00,c,-1
"2025-02-16T21:15:00-08:00",0.00,c,-1
"2025-02-17T09:15:00-08:00",0.00,c,-1
"2025-02-18T21:15:00-08:00",0.00,c,-1
"2025-02-19T21:15:00-08:00",0.00,c,-1
"2025-02-20T09:15:00-08:00",0.00,c,-1
"2025-02-20T21:15:00-08:00",0.00,c,-1
"2025-02-21T09:15:00-08:00",0.00,c,-1
"2025-02-21T21:15:00-08:00",0.00,c,-1
"2025-02-22T09:15:00-08:00",0.00,c,-1
"2025-02-22T21:15:00-08:00",0.00,c,-1
"2025-02-23T09:15:00-08:00",0.00,c,-1
"2025-02-23T21:15:00-08:00",0.00,c,-1
"2025-02-24T09:15:00-08:00",0.00,c,-1
"2025-02-26T09:15:00-08:00",0.00,c,-1
"2025-02-26T21:15:00-08:00",0.00,c,-1
"2025-02-28T09:15:00-08:00",0.00,c,-1
"2025-02-28T21:15:00-08:00",0.00,c,-1
"2025-03-01T09:15:00-08:00",0.00,c,-1
"2025-03-01T21:15:00-08:00",0.00,c,-1
"2025-03-02T09:15:00-08:00",0.00,c,-1
"2025-03-02T21:15:00-08:00",0.00,c,-1
"2025-03-03T21:15:00-08:00",0.00,c,-1
"2025-03-04T09:15:00-08:00",0.00,c,-1
"2025-03-04T21:15:00-08:00",0.00,c,-1
"2025-03-05T09:15:00-08:00",0.00,c,-1
"2025-03-05T21:15:00-08:00",0.00,c,-1
"2025-03-06T02:45:00-08:00",0.04,c,-1
"2025-03-06T03:00:00-08:00",0.04,c,-1
"2025-03-06T04:15:00-08:00",0.04,c,-1
"2025-03-06T04:30:00-08:00",0.04,c,-1
"2025-03-06T04:45:00-08:00",0.12,c,-1
"2025-03-06T09:15:00-08:00",0.00,c,-1
"2025-03-07T09:15:00-08:00",0.00,c,-1
"2025-03-07T21:15:00-08:00",0.00,c,-1
"2025-03-08T09:15:00-08:00",0.00,c,-1
"2025-03-08T21:15:00-08:00",0.00,c,-1
"2025-03-09T09:15:00-08:00",0.00,c,-1
"2025-03-09T21:15:00-08:00",0.00,c,-1
"2025-03-10T21:15:00-08:00",0.00,c,-1
