"Date","Time","Value"
"07/07/2025","03:07:29","1.54"
"07/06/2025","15:07:29","1.54"
"07/06/2025","03:07:30","1.54"
"07/05/2025","15:07:29","1.54"
"07/05/2025","03:07:30","1.54"
"07/04/2025","15:07:30","1.54"
"07/04/2025","03:07:30","1.54"
"07/03/2025","15:19:31","1.54"
"07/03/2025","15:09:26","1.5"
"07/03/2025","15:07:30","1.46"
"07/03/2025","03:07:43","1.46"
"07/02/2025","15:07:30","1.46"
"07/02/2025","03:07:30","1.46"
"07/01/2025","15:07:30","1.46"
"07/01/2025","03:07:30","1.46"
"06/30/2025","15:07:30","1.46"
"06/30/2025","03:07:30","1.46"
"06/29/2025","15:07:30","1.46"
"06/29/2025","03:07:30","1.46"
"06/28/2025","15:07:30","1.46"
"06/28/2025","03:07:30","1.46"
"06/27/2025","15:07:30","1.46"
"06/27/2025","03:07:30","1.46"
"06/26/2025","15:07:30","1.46"
"06/26/2025","03:07:30","1.46"
"06/25/2025","15:07:31","1.46"
"06/25/2025","03:07:30","1.46"
"06/24/2025","15:07:30","1.46"
"06/24/2025","03:07:31","1.46"
"06/23/2025","15:07:32","1.46"
"06/23/2025","03:07:31","1.46"
"06/22/2025","15:07:30","1.46"
"06/22/2025","03:07:31","1.46"
"06/21/2025","15:07:31","1.46"
"06/21/2025","03:07:31","1.46"
"06/20/2025","15:07:31","1.46"
"06/20/2025","03:07:31","1.46"
"06/19/2025","15:07:31","1.46"
"06/19/2025","03:07:31","1.46"
"06/18/2025","15:07:31","1.46"
"06/18/2025","03:07:31","1.46"
"06/17/2025","15:07:31","1.46"
"06/17/2025","03:07:31","1.46"
"06/16/2025","15:07:31","1.46"
"06/16/2025","03:07:31","1.46"
"06/15/2025","15:07:31","1.46"
"06/15/2025","03:07:31","1.46"
"06/14/2025","15:07:31","1.46"
"06/14/2025","03:07:31","1.46"
"06/13/2025","15:07:31","1.46"
"06/13/2025","03:07:32","1.46"
"06/12/2025","15:07:31","1.46"
"06/12/2025","03:07:32","1.46"
"06/11/2025","15:07:32","1.46"
"06/11/2025","03:07:45","1.46"
"06/10/2025","15:07:32","1.46"
"06/10/2025","03:07:32","1.46"
"06/09/2025","15:07:32","1.46"
"06/09/2025","03:07:32","1.46"
"06/08/2025","15:07:32","1.46"
"06/08/2025","03:07:32","1.46"
"06/07/2025","15:07:32","1.46"
"06/07/2025","03:07:32","1.46"
"06/06/2025","15:07:32","1.46"
"06/06/2025","03:07:32","1.46"
"06/05/2025","15:07:32","1.46"
"06/05/2025","03:07:32","1.46"
"06/04/2025","15:07:32","1.46"
"06/04/2025","03:07:32","1.46"
"06/03/2025","15:07:32","1.46"
